答卷编号,IP地址,来源,昵称(微信),性别(微信),城市(微信),分值,开始时间,结束时间,状态
181,111.161.57.49,,,,,172,2015-03-22 14:18:22,2015-03-22 14:20:47,正常完成
182,221.215.255.44,,,,,43,2015-03-22 14:21:36,2015-03-22 14:22:23,正常完成
183,183.13.244.196,,,,,54,2015-03-22 14:21:30,2015-03-22 14:22:42,正常完成
184,58.22.113.116,,,,,133,2015-03-22 14:21:49,2015-03-22 14:24:24,正常完成
185,188.230.63.23,,,,,117,2015-03-22 14:23:15,2015-03-22 14:24:45,正常完成
186,101.226.125.108,,,,,126,2015-03-22 14:23:41,2015-03-22 14:25:03,正常完成
187,117.136.37.143,,,,,158,2015-03-22 14:22:11,2015-03-22 14:26:08,正常完成
188,122.247.159.175,,,,,150,2015-03-22 14:24:39,2015-03-22 14:26:54,正常完成
189,119.167.17.115,,,,,156,2015-03-22 14:25:07,2015-03-22 14:27:05,正常完成
190,120.192.27.6,,,,,141,2015-03-22 14:28:34,2015-03-22 14:29:59,正常完成
191,116.26.62.202,,,,,61,2015-03-22 14:28:07,2015-03-22 14:30:18,正常完成
192,140.255.110.199,,,,,167,2015-03-22 14:28:25,2015-03-22 14:30:35,正常完成
193,117.136.9.186,,,,,164,2015-03-22 14:31:05,2015-03-22 14:32:32,正常完成
194,172.56.22.155,,,,,126,2015-03-22 14:29:45,2015-03-22 14:32:40,正常完成
195,180.153.81.159,,,,,159,2015-03-22 14:31:22,2015-03-22 14:34:50,正常完成
196,211.140.18.115,,,,,190,2015-03-22 14:32:58,2015-03-22 14:35:33,正常完成
197,119.32.91.52,,,,,147,2015-03-22 14:35:36,2015-03-22 14:37:10,正常完成
198,112.224.69.229,,,,,108,2015-03-22 14:36:05,2015-03-22 14:37:44,正常完成
199,112.224.67.218,,,,,150,2015-03-22 14:39:14,2015-03-22 14:41:55,正常完成
200,219.146.83.84,,,,,88,2015-03-22 14:43:09,2015-03-22 14:45:14,正常完成
201,113.205.155.30,,,,,112,2015-03-22 14:44:55,2015-03-22 14:45:26,正常完成
202,182.32.61.218,,,,,43,2015-03-22 14:49:42,2015-03-22 14:51:28,正常完成
203,101.226.125.116,,,,,180,2015-03-22 14:50:17,2015-03-22 14:52:05,正常完成
204,182.131.12.12,,,,,63,2015-03-22 14:51:33,2015-03-22 14:54:20,正常完成
205,101.226.61.186,,,,,151,2015-03-22 14:54:43,2015-03-22 14:58:13,正常完成
206,27.223.5.218,,,,,179,2015-03-22 14:57:10,2015-03-22 14:58:59,正常完成
207,101.226.69.109,,,,,168,2015-03-22 14:58:34,2015-03-22 15:01:25,正常完成
208,60.28.159.189,,,,,188,2015-03-22 14:58:52,2015-03-22 15:02:10,正常完成
209,223.104.2.250,,,,,32,2015-03-22 15:03:15,2015-03-22 15:04:48,正常完成
210,101.226.125.114,,,,,137,2015-03-22 15:03:42,2015-03-22 15:04:52,正常完成
211,87.101.79.38,,,,,38,2015-03-22 15:08:58,2015-03-22 15:11:59,正常完成
212,112.255.201.148,,,,,159,2015-03-22 15:12:13,2015-03-22 15:14:27,正常完成
213,60.28.159.170,,,,,162,2015-03-22 15:13:54,2015-03-22 15:15:45,正常完成
214,101.226.125.16,,,,,156,2015-03-22 15:16:16,2015-03-22 15:18:40,正常完成
215,223.104.2.17,,,,,53,2015-03-22 15:21:56,2015-03-22 15:23:59,正常完成
216,77.121.123.46,,,,,76,2015-03-22 15:18:41,2015-03-22 15:24:09,正常完成
217,101.226.125.108,,,,,135,2015-03-22 15:26:46,2015-03-22 15:28:16,正常完成
218,123.116.35.139,,,,,167,2015-03-22 15:27:11,2015-03-22 15:29:03,正常完成
219,171.34.247.6,,,,,152,2015-03-22 15:29:24,2015-03-22 15:30:56,正常完成
220,112.224.20.87,,,,,50,2015-03-22 15:33:49,2015-03-22 15:36:07,正常完成
221,112.224.20.87,,,,,35,2015-03-22 15:36:17,2015-03-22 15:36:48,正常完成
222,137.147.8.4,,,,,153,2015-03-22 15:31:39,2015-03-22 15:37:10,正常完成
223,140.255.101.163,,,,,55,2015-03-22 15:38:53,2015-03-22 15:41:40,正常完成
224,101.71.38.56,,,,,49,2015-03-22 15:39:50,2015-03-22 15:41:45,正常完成
225,106.39.222.104,,,,,114,2015-03-22 15:39:54,2015-03-22 15:42:27,正常完成
226,153.119.194.1,,,,,70,2015-03-22 15:43:41,2015-03-22 15:45:56,正常完成
227,218.56.251.213,,,,,56,2015-03-22 15:45:45,2015-03-22 15:47:12,正常完成
228,112.224.65.254,,,,,128,2015-03-22 15:47:35,2015-03-22 15:50:41,正常完成
229,106.39.222.104,,,,,158,2015-03-22 15:48:50,2015-03-22 15:51:53,正常完成
230,221.3.111.125,,,,,114,2015-03-22 15:54:03,2015-03-22 15:55:09,正常完成
231,60.28.159.182,,,,,156,2015-03-22 16:03:26,2015-03-22 16:05:30,正常完成
232,121.11.96.46,,,,,157,2015-03-22 16:03:20,2015-03-22 16:05:50,正常完成
233,101.226.125.117,,,,,152,2015-03-22 16:05:00,2015-03-22 16:06:48,正常完成
234,117.136.54.28,,,,,43,2015-03-22 16:05:30,2015-03-22 16:08:04,正常完成
235,116.249.97.157,,,,,29,2015-03-22 16:07:13,2015-03-22 16:08:40,正常完成
236,123.151.42.46,,,,,175,2015-03-22 16:07:46,2015-03-22 16:09:18,正常完成
